hour,trip_distance,fare_amount,passenger_count,trip_count,hour_of_day,day_of_week,regime,trip_distance_norm,fare_amount_norm,passenger_count_norm,trip_count_norm
2023-01-22 01:00:00,3.2101624695369617,15.50204711616572,6823.0,4924,1,6,weekend_quiet,0.01710424948130007,0.07318888794176347,0.5710220138942236,0.5179379274060831
2023-01-22 02:00:00,2.987777191129884,15.993648363252376,5297.0,3788,2,6,weekend_quiet,0.015919345813981422,0.0775489876938083,0.4432912028120505,0.398421883218939
2023-01-22 03:00:00,3.044185755935027,15.98109537692628,3281.0,2401,3,6,weekend_quiet,0.016219899500738724,0.07743765300356456,0.27454591110716114,0.2524986849024171
2023-01-22 04:00:00,3.7473923444976074,18.79055821371611,1765.0,1254,4,6,weekend_quiet,0.019966694574759764,0.10235528348286083,0.14765213024177815,0.13182535507613694
2023-01-22 05:00:00,6.1841552511415525,27.04810502283105,599.0,438,5,6,weekend_quiet,0.032950149797830695,0.17559294918913632,0.0500544069640495,0.04597580220931512
2023-01-22 06:00:00,6.58253112033195,28.011562932226834,976.0,723,6,6,weekend_quiet,0.03507275895503798,0.1841380304247047,0.08161044613703723,0.07596002104147716
2023-01-22 07:00:00,5.416900790166813,24.438762071992976,1448.0,1139,7,6,weekend_quiet,0.02886209760711236,0.15245021791989777,0.12111827236953115,0.11972645975789613
2023-01-22 08:00:00,4.310441845354125,20.096400259909032,2037.0,1539,8,6,weekend_quiet,0.022966710687452176,0.11393703111990831,0.17041935213846954,0.16180957390829898
2023-01-22 09:00:00,3.5891497510532364,17.96723477594791,3582.0,2611,9,6,weekend_quiet,0.01912355320028881,0.09505308004432267,0.2997405206325439,0.2745923198313786
2023-01-22 10:00:00,3.4301920646954764,17.147765984331567,5536.0,3957,10,6,weekend_active,0.01827660169853957,0.08778506415480015,0.46329622499333445,0.4162019989474842
2023-01-22 11:00:00,10.419268020531131,16.033555010042402,6282.0,4481,11,6,weekend_active,0.05551549534544331,0.07790292691142682,0.5257386791658778,0.471330878484512
2023-01-22 12:00:00,4.7576324162455546,17.41376380310687,7420.0,5343,12,6,weekend_active,0.025349412236920884,0.09014424658275325,0.620992717836594,0.5620199894786301
2023-01-22 13:00:00,3.473676264044944,18.406722261235956,7868.0,5696,13,6,weekend_active,0.018508292337635218,0.09895097348333877,0.6584916715487917,0.5991583377163606
2023-01-22 14:00:00,4.21126931930286,19.751785596843145,8623.0,6082,14,6,weekend_active,0.02243830390325716,0.11088058178034892,0.7216874529164462,0.6397685428714994
2023-01-22 15:00:00,3.818920286063143,20.070704692133265,7935.0,5733,15,6,weekend_active,0.020347806673923156,0.11370913251437849,0.6640997740012855,0.6030510257752729
2023-01-22 16:00:00,3.713101639344262,19.891044262295082,8419.0,6100,16,6,weekend_active,0.01978398831568462,0.11211569189511243,0.7046120364939277,0.6416622830082676
2023-01-22 17:00:00,3.7593495366322784,19.81280118901906,7858.0,5719,17,6,weekend_active,0.020030404371166658,0.11142174002576356,0.6576546413320016,0.6015781167800088
2023-01-22 18:00:00,3.1471791590493603,17.428334552102378,7452.0,5470,18,6,weekend_active,0.01676866451762267,0.09027347717250238,0.6236712145303225,0.575381378221383
2023-01-22 19:00:00,3.7897185537995237,19.17399220610522,6243.0,4619,19,6,weekend_active,0.020192215261132414,0.10575602842614332,0.5224742613203963,0.48584955286640097
2023-01-22 20:00:00,4.029084051724138,19.730619612068963,4949.0,3712,20,6,weekend_active,0.021467592203131478,0.11069285685997371,0.4141625512677541,0.3904260915303625
2023-01-22 21:00:00,4.917833985466741,22.796978759083284,4870.0,3578,21,6,weekend_active,0.02620299134179721,0.13788894685325406,0.4075500125551121,0.3763282482899775
